"Values"
"1144.52"
"1202.51"
"1239.78"
"1230.77"
"1210.18"
"1268.27"
"1210.23"
"1187.13"
"1235.95"
"1263.25"
"1187.89"
"1293.2"
"1141.27"
"1257.77"
"1262.73"
"1218.31"
"1238.48"
"1284.29"
"1274.53"
"1258.42"
"1232.73"
"1304.68"
"1245.58"
"1245.91"
"1220.02"
"1223.8"
"1267.24"
"834.48"
"1246.84"
"1248.3"
"1184.95"
"1216.5"
"1239.86"
"1253.34"
"1178.94"
"1210.25"
"1216.42"
"1257.93"
"1187.75"
"1207.26"
"1234.71"
"1233.64"
"1251.23"
"1221.07"
"1200.14"
"1215.74"
"1236.45"
"1167.77"
"1201.46"
"1199.37"
"1167.79"
"1231.71"
"1251.96"
"1242.43"
"1210.21"
"1203.78"
"1135.47"
"1240.36"
"1116.07"
"1293.2"
"1240.07"
"1238.12"
"1218.41"
"1245.58"
"1201.45"
"1221.07"
"1225.61"
"1242.44"
"1155.48"
"1213.63"
"1239.74"
"1214.8"
"1200.62"
"1208.37"
"1271.03"
"1121.71"
"1257.77"
"1225.61"
"1229.02"
"1244.55"
"1231.48"
"1252.29"
"1234.01"
"1218.35"
"1207.94"
"1264.86"
"1222.55"
"1245.54"
"1210.26"
"1249.13"
"1245.73"
"1221.69"
"1228.12"
"1204.53"
"1245.58"
"1176.02"
"1160.65"
"1257.51"
"1179.23"
"1181.97"
