"Values"
"835.51"
"899.24"
"929.94"
"884.3"
"892.71"
"878.41"
"819.58"
"839.3"
"881.24"
"905.76"
"889.81"
"895.45"
"860.11"
"890.56"
"890.51"
"917.78"
"901.18"
"874.58"
"876.74"
"909.65"
"857.58"
"868.48"
"887.86"
"908.46"
"723.4"
"900.18"
"867.34"
"907.07"
"930.91"
"873.16"
"885.65"
"853.17"
"874.13"
"908.46"
"923.3"
"893.13"
"878.1"
"844.49"
"907.53"
"868.86"
"884.9"
"667.99"
"899.58"
"866.47"
"827.84"
"846.75"
"915.36"
"911.34"
"903.66"
"836.1"
"795.57"
"898.59"
"876.24"
"866.99"
"921.65"
"863.58"
"902.58"
"865.68"
"891.05"
"884.9"
"885.2"
"763.72"
"850.98"
"881.16"
"895.03"
"878.57"
"882.87"
"881.19"
"914.74"
"856.08"
"902.2"
"901.71"
"885.82"
"881"
"925.97"
"836"
"862.88"
"920.3"
"879.22"
"837.1"
"889.2"
"844.48"
"850.03"
"899.51"
"830.48"
"889.54"
"885.65"
"900.57"
"866.13"
"842"
"874.27"
"869.45"
"870.8"
"911.08"
"867.75"
"872.59"
"894.05"
"862.51"
"885.8"
"905.11"
